GERMAN_NOUN,ENGLISH_TRANSLATION,PLURAL,EXAMPLE
das System,system,die Systeme,Neben der Demokratie gibt es noch andere politische Systeme.
der Platz,"place, room, square",die Plätze,Ich habe nicht genug Platz.
der Wert,value,die Werte,Die Aktie hat an Wert verloren.
die Uhr,"clock, watch, o'clock",die Uhren,Es ist genau zehn Uhr.
die Zahl,number (Z~),die Zahlen,Eine große Zahl von Jugendlichen raucht.
die Minute,minute,die Minuten,Der Kuchen muss zwanzig Minuten backen.
die Straße,street,die Straßen,Die Straße wird neu gebaut.
die Gruppe,group,die Gruppen,Zu den Workshops treffen wir uns in kleinen Gruppen.
die Eltern,parents,no singular,In den Ferien fahren wir mit den Eltern an die Ostsee.
der Anfang,beginning (A~),die Anfänge,Am Anfang war das Wort.
der Ort,"place, town, location","die Orte, die Örter",Bad Harzburg ist ein kleiner Ort im Harz.
das Gesicht,face,die Gesichter,"Sie hat ein rundes, immer freundliches Gesicht."
die Sprache,language,die Sprachen,"Die deutsche Sprache hat den Ruf, schwierig zu sein."
der Moment,moment (M~),die Momente,Warte noch einen Moment!
die Rolle,"roll, role",die Rollen,Gustav Gründgens überzeugte in der Rolle des Faust.
das Interesse,interest,die Interessen,Sind Studiengebühren im Interesse der Studenten?
die Bedeutung,"meaning, significance",die Bedeutungen,Was hat das für eine Bedeutung?
der Text,text,die Texte,Der Text ist zu lang.
die Folge,"result, consequence (F~)",die Folgen,"Die Folge davon war, dass er arbeitslos wurde."
die Tür,door,die Türen,Sein Name steht an der Tür.
die Milliarde,billion,die Milliarden,"Die Weltbevölkerung beträgt 6, 4 Milliarden."
der Krieg,war,die Kriege,Die Soldaten ziehen in den Krieg.
der Schüler,"pupil, student",die Schüler,Alle Schüler treffen sich donnerstags in der Aula.
das Ergebnis,result (E~),die Ergebnisse,Die Projektgruppe stellt ihre Ergebnisse vor.
das Gespräch,conversation,die Gespräche,Ein vernünftiges Gespräch war nicht mehr möglich.
der Meter,meter,die Meter,Ein Meter sind 100 Zentimeter.
die Wohnung,"apartment, flat",die Wohnungen,Die Wohnung ist im dritten Stock.
das Stück,piece,die Stücke,Ich möchte noch ein Stück Kuchen.
die Regierung,"rule, government",die Regierungen,Die Regierung sitzt in Berlin.
die Weise,"way, manner",die Weisen,Auf welche Weise lösen wir das Problem am schnellsten?
die Situation,situation (S~),die Situationen,Das ist eine komplizierte Situation.
die Abbildung,illustration (A~),die Abbildungen,Abbildung B zeigt ein Modell des Versuchsaufbaus.
das Jahrhundert,century,die Jahrhunderte,Im letzten Jahrhundert wurde das Fernsehen erfunden.
der Lehrer,teacher (male),die Lehrer,Jakob mag seinen Lehrer.
der Begriff,"concept, idea, term (B~)",die Begriffe,Freiheit ist ein komplizierter Begriff.
der Punkt,"dot, point, period",die Punkte,Der Minister trägt einen Schlips mit Punkten.
die Funktion,function,die Funktionen,Welche Funktion hat ein Antiblockiersystem?
der Boden,"ground, floor, bottom","die Boden, die Böden",Auf dem Boden liegt ein Teppich.
der Preis,"price, prize",die Preise,Der Preis war unangemessen hoch.
der Sohn,son,die Söhne,Sie hat zwei Söhne.
die Kunst,art,die Künste,Schreiben ist eine Kunst.
die Angst,"fear, anxiety (A~)",die Ängste,Vor Angst konnte er nicht reden.
die Information,information (I~),die Informationen,Ihm wurden Informationen vorenthalten.
das Werk,work (W~),die Werke,Er hat ein gutes Werk getan.
die Politik,politics,die Politiken,Die Politik ist kein Wundermittel.
die Richtung,direction,die Richtungen,In welche Richtung müssen wir fahren?
die Stimme,"voice, vote",die Stimmen,Sie hat eine angenehme Stimme.
die Musik,music,die Musiken,Musik verbindet die Menschen.
das Programm,programme,die Programme,Als nächstes steht eine Diskussion auf dem Programm.
der Rahmen,"frame, framework",die Rahmen,Der Rahmen war aus einem dunklen Holz geschnitzt.
der Schritt,step,die Schritte,Er wollte immer einen Schritt voraus sein.
der Gott,god,die Götter,"Ich bin der Herr, dein Gott, du sollst keine anderen Götter haben neben mir."
der Absatz,"paragraph, sales, heel",die Absätze,Lesen Sie bitte den ersten Absatz!
der Beruf,"occupation, job, profession",die Berufe,Er hasst seinen Beruf.
das Auto,"automobile, car",die Autos,Mein Auto hat einen Totalschaden.
die Regel,rule,die Regeln,Ausnahmen bestätigen die Regel.
die Beziehung,"relation, relationship",die Beziehungen,Welche Beziehung besteht zwischen Molekülen und Atomen?
der Markt,market,die Märkte,Es existiert zur Zeit kein Markt für Rollschuhe.
das Gefühl,feeling,die Gefühle,Ich habe kein gutes Gefühl dabei.
das Licht,light,die Lichter,"Mach das Licht aus, es blendet!"
der Tisch,table,die Tische,Auf dem Tisch liegt eine Tischdecke.
das Spiel,game (S~),die Spiele,Das Spiel ist aus.
der Präsident,president,die Präsidenten,Der Präsident des Bundestags mahnte zur Ruhe.
die Zukunft,future,no plural,In Zukunft werde ich weniger rauchen.
die Erfahrung,experience (Erf~),die Erfahrungen,Ich habe keine Erfahrung mit Mikrowellen.
die Partei,(political) party,die Parteien,Die Kommunistische Partei erzielte einen Vorsprung von 12 Prozent.
die Bank,1) bank; 2) bench,die Bänke,1) Ich habe noch in der Bank zu tun. 2) Die Bank ist frisch gestrichen.
die Tochter,daughter,die Töchter,Die Tochter des Bürgermeisters eröffnete den Ball.
das Mädchen,girl,die Mädchen,Mädchen sind oft die besseren Schüler.
die Kirche,church,die Kirchen,Die Kirche steht auf einem Hügel.
das Verhältnis,relationship (V~),die Verhältnisse,Sie hatten kein gutes Verhältnis zueinander.
der Doktor,doctor (D~),die Doktoren,"Um den Titel des Doktors zu erlangen, muss man promovieren."
der Gedanke,thought (G~),die Gedanken,Mach dir keine Gedanken!
der Film,film,die Filme,Ich habe mir den Film auf DVD gekauft.
der Zusammenhang,"connection, context (Z~)",die Zusammenhänge,Da besteht bestimmt ein Zusammenhang.
das Gesetz,law,die Gesetze,Er hat das Gesetz gebrochen.
die Firma,"firm, company",die Firmen,Viele Firmen gehen an die Börse.
der Student,student,die Studenten,In vielen Seminaren gibt es zu viele Studenten.
die Entscheidung,decision,die Entscheidungen,Wir müssen eine klare Entscheidung treffen.
der Prozess,"trial, process",die Prozesse,Das ist ein langwieriger Prozess.
der Arm,arm,die Arme,Ich habe mir meinen Arm gebrochen.
die Kraft,"power, strength (K~)",die Kräfte,Ich hab keine Kraft mehr.
der September,September,die September,Am 1. September ist Weltfriedenstag.
der Betrieb,"business, operation (B~)",die Betriebe,Im Betrieb wird gestreikt.
die Zeitung,newspaper,die Zeitungen,Beim Frühstück lese ich immer die Zeitung.
das Angebot,offer,die Angebote,Ihr Angebot gefällt mir.
die Grenze,"border, frontier",die Grenzen,An der Grenze gibt es einen Zaun.
die Chance,chance (C~),die Chancen,Ihm wurde keine zweite Chance gegeben.
der Satz,sentence,die Sätze,Sag das doch mal in einem Satz!
das Zuhause,home (Z~),no plural,Struppi hat bei Möllers ein neues Zuhause gefunden.
der Erfolg,success,die Erfolge,Ich hatte mit meiner Bewerbung keinen Erfolg.
das Mitglied,member,die Mitglieder,Alle Mitglieder treffen sich morgen Nachmittag.
das Internet,Internet,no plural,Im Internet findest du bestimmt viele Informationen dazu.
die Leistung,performance (L~),die Leistungen,Leistung muss belohnt werden.
die Lage,"situation, location (L~)",die Lagen,Die Lage verschlechtert sich.
das Pro,pro,,Pro und Contra sollte man gewissenhaft abwägen.
das Projekt,project,die Projekte,Wer finanziert das Projekt?
die Kultur,culture,die Kulturen,In der arabischen Kultur denkt man anders darüber.
das Auftreten,"behaviour, conduct (A~)",die Auftretens,Ihr Auftreten war höchst peinlich.
das Verhalten,"behaviour (V~, short form)",no plural,Ihr Verhalten ist lobenswert.
der Arzt,"physician, doctor (A~)",die Ärzte,Mein Arzt verschrieb mir eine Salbe.
das Zimmer,room (Z~),die Zimmer,Sie hat ihr Zimmer rot gestrichen.
der Körper,body (K~),die Körper,Der menschliche Körper besteht größtenteils aus Wasser.
der Fuß,foot,die Füße,Er stolpert noch über seine eigenen Füße.
die Klasse,class,die Klasse,Sie kommt in die zweite Klasse.
der Zug,train,die Züge,Der Zug aus Dresden hatte zehn Minuten Verspätung.
der Chef,"director, boss",die Chefs,Mein Chef ist nie da.
die Lösung,solution,die Lösungen,Die Lösung ist ganz einfach.
das Fenster,window,die Fenster,Er öffnet das Fenster.
der Junge,boy,"die Jungen, die Jungs, die Jungens",Die Jungen spielen Fußball.
das Produkt,product,die Produkte,Haferflocken sind ein natürliches Produkt.
das Studium,"study, studies",die Studien,Ihr Studium dauert drei Jahre.
die Höhe,"height, altitude",die Höhen,Quito liegt auf einer Höhe von 2800 Metern.
der Vergleich,comparison,die Vergleiche,Im Vergleich zu dir geht es mir noch gut.
die Idee,idea,die Ideen,Ideen müsste man haben!
die Luft,air,die Lüfte,Die Luft ist verschmutzt.
das Englisch,English (language),no plural,Alle Welt spricht Englisch.
die Meinung,opinion (M~),die Meinungen,Meiner Meinung nach dürfen wir das nicht.
die Natur,nature,die Naturen,Im Frühjahr erwacht die Natur zu neuem Leben.
das Bett,bed,die Betten,Das Bett steht im Schlafzimmer.
die Wirtschaft,"economy, commerce",die Wirtschaften,Die Wirtschaft nimmt Einfluss auf die Politik.
der Spaß,fun,die Späße,Das macht keinen Spaß mehr.
das Modell,model (M~),die Modelle,Im Foyer steht ein Modell des Gebäudes.
das Geschäft,"business, store, shop (G~)",die Geschäfte,Meinem Geschäft geht es wieder besser.
die Bewegung,"movement, motion",die Bewegungen,Er ist ständig in Bewegung.
das Mittel,means,die Mittel,Dagegen gibt es ein Mittel.
der Kunde,"customer, client",die Kunden,Der Kunde ist König.
das Tier,animal,die Tiere,Tiger sind wilde Tiere.
der Mitarbeiter,"employee, co-worker",die Mitarbeiter,Alle Mitarbeiter wurden entlassen.
der Tod,death,die Tode,Nach dem Tod seiner Frau zog Reinhard zu seinem Sohn.
das Dorf,village,die Dörfer,Das Dorf liegt in einem Tal.
der Bruder,brother,die Brüder,Sie hat keine Brüder.
die Angabe,"information, statement (An~)",die Angaben,Darüber wurden keine Angaben gemacht.
die Verfügung,disposal,die Verfügungen,Das Gericht hob die einstweilige Verfügung gegen die Veranstalter der Demonstration auf.
der Gast,guest,die Gäste,Er ist mein Gast.
die Sicherheit,"security, safety",die Sicherheiten,Sicherheit ist wichtiger als Schnelligkeit.
der Dank,gratefulness,no plural,Mein Dank ist dir gewiss.
der Kollege,colleague (male),die Kollegen,Die Kollegen treffen sich in der Mittagspause in der Kantine.
das Gebiet,"area, region (Geb~)",die Gebiete,Anatomie ist ein Gebiet der Medizin.
der Einsatz,"use, commitment, inset, development (E~)",die Einsätze,Das ist ein freiwilliger Einsatz.
der  Unterschied,difference (U~),die Unterschiede,Es gibt große Unterschiede zwischen Europa und Asien.
die Anwendung,"application, use",die Anwendungen,Dieses Computerprogramm kommt oft zur Anwendung.
die Vorstellung,"idea, introduction (V~)",die Vorstellungen,"Ich habe eine andere Vorstellung davon, was wir machen sollen."
der Kontakt,contact,die Kontakte,Wir müssen den Kontakt herstellen.
das Fach,"compartment, subject","die Fächer, die Fache",Welche Fächer studierst du?
die Menge,"quantity, amount (M~)",die Mengen,Es handelt sich um eine größere Menge.
die Verbindung,"connection, link",die Verbindungen,Es gibt keine Verbindung zwischen hier und dort.
der Sommer,summer,die Sommer,Im Sommer habe ich Geburtstag.
der Anspruch,claim (A~),die Ansprüche,Er hat keinen Anspruch auf das Haus.
das Herz,heart,die Herzen,Die Ärztin unternahm eine komplizierte Operation am Herzen.
die Antwort,"answer, reply",die Antworten,Ich habe ihm noch keine Antwort gegeben.
die Ausbildung,"training, development",die Ausbildungen,Laura ist noch in der Ausbildung.
das Alter,age,die Alter,Sie starb im Alter von 75 Jahren.
der Kilometer,kilometre,die Kilometer,Von Leipzig nach München sind es etwa 430 Kilometer.
der Vertrag,contract,die Verträge,Der Vertrag gilt ab 1. Januar 2006.
die Hilfe,help,die Hilfen,Wir hoffen auf eure Hilfe.
der Dollar,dollar,die Dollars,Der Dollar steht gut im Kurs.
das Verfahren,"method, process, technique (V~)",die Verfahren,Dieses Verfahren ist am effektivsten.
das Theater,theater,die Theater,Das Theater ist eines der schönsten Gebäude der Stadt.
die Gefahr,danger,die Gefahren,Er war in großer Gefahr.
der Patient,patient,die Patienten,Der Arzt untersucht einen Patienten.
die Kosten,"costs, expenses",no singular,Die Kosten für die Reise übernimmt die Firma.
die Polizei,police,die Polizeien,Die Polizei erreicht den Unfallort zuerst.
der Computer,computer,die Computer,Ich arbeite jeden Tag am Computer.
das Gerät,"tool, piece of equipment, appliance (G~)",die Geräte,Ein Thermometer ist ein Gerät zur Temparaturmessung.
der Oktober,October,die Oktober,Im Oktober ist Erntedankfest.
die Reihe,"row, line",die Reihen,Stellt euch bitte in einer Reihe auf!
der Stoff,"material, substance (S~)",die Stoffe,Samt ist ein sehr weicher Stoff.
die Mitte,middle,die Mitten,Kassel liegt in der Mitte Deutschlands.
das Glück,"luck, fortune",no plural,Alles Gute und viel Glück zum Geburtstag!
die Maßnahme,measure (long form),die Maßnahmen,Jetzt müssen geeignete Maßnahmen zum Hochwasserschutz getroffen werden.
der Westen,west,no plural,Im Westen ist die Arbeitslosigkeit niedriger als im Osten.
die Ordnung,"order, tidiness (O~)",die Ordnungen,Ordnung ist das halbe Leben.
der Beginn,beginning (B~),die Beginne,Der Beginn der Sommerzeit ist Ende März.
das Wochenende,weekend,die Wochenenden,Am Wochenende fahren wir aufs Land.
der Professor,professor,die Professoren,Der Professor betreut viele Studierende.
der Osten,east,no plural,Im Osten geht die Sonne auf.
die Reise,"journey, trip",die Reisen,Anschließend unternahm er eine Reise nach Italien.
die Einheit,"unity, unit",die Einheiten,Die Deutsche Einheit kam für viele überraschend.
das Institut,institute,die Institute,Am Institut für Linguistik lehrt ein Gastprofessor aus den USA.
die Bevölkerung,population,die Bevölkerungen,Die Bevölkerung verlangt Reformen.
die Erde,"earth, ground, soil",die Erden,Die Erde bewegt sich um die Sonne.
die Schwester,sister,die Schwestern,Ich habe zwei ältere Schwestern.
die Ebene,"plane, level (E~)",die Ebenen,Dieses Problem muss man auf verschiedenen Ebenen betrachten.
die Wahl,"choice, election (W~)",die Wahlen,"Wer die Wahl hat, hat die Qual."
die Bedingung,"condition, stipulation (B~)",die Bedingungen,Unter solchen Bedingungen kann ich nicht arbeiten.
das Lächeln,smile,die Lächeln,Harry war von Sallys Lächeln hingerissen.
die Struktur,structure,die Strukturen,An der föderalen Struktur Deutschlands sollte nicht gerüttelt werden.
das Prinzip,principle (P~),die Prinzipien,Ich esse aus Prinzip kein Fleisch.
der Vorteil,advantage,die Vorteile,Der Vorteil dieser Methode ist offensichtlich.
das Haar,hair,die Haare,Ich lasse mir heute meine Haare schneiden.
die Wirkung,effect (W~),die Wirkungen,Alkohol hat keine große Wirkung auf mich.
der Montag,Monday,die Montage,Am Montag beginnt die Arbeitswoche.
die Nähe,"vicinity, proximity",die Nähen,Die Nähe zur Innenstadt macht die Wohnung attraktiv.
der Autor,author,die Autoren,Thomas Brussig ist ein zeitgenössischer deutscher Autor.
der Sonntag,Sunday,die Sonntage,Am Sonntag haben die Läden geschlossen.
die Größe,"size, height",die Größen,Die Miete hängt von der Größe der Wohnung ab.
die Medien,media,no singular,In den Medien wird über den neuen Bestseller berichtet.
die Untersuchung,"examination, investigation (U~)",die Untersuchungen,Die Untersuchung findet am Montag statt.
die Veränderung,change (V~),die Veränderungen,Ich kann mich schwer auf Veränderungen einstellen.
die Daten,data,no singular,Derzeit liegen uns keine Daten zu diesem Fall vor.
die Organisation,organization (O~),die Organisationen,Die Organisation der Olympischen Spiele dauerte länger als gedacht.
der Einfluss,influence,die Einflüsse,Der Einfluss der extremen Parteien nimmt zu.
die Macht,"power, strength (M~)",die Mächte,Die Presse ist die vierte Macht im Staate.
die Methode,method (M~),die Methoden,"Spazierengehen ist eine gute Methode, um sich zu entspannen."
der Brief,letter,die Briefe,Ein Brief kostet 55 Cent Porto.
der Sport,sport,die Sporte,Sport ist gesund.
der Augenblick,moment (A~),die Augenblicke,Genieße den Augenblick!
die Diskussion,discussion,die Diskussionen,Die Diskussion dauerte bis zum späten Abend.
die Liebe,love,die Lieben,Seine Liebe zur Musik ist grenzenlos.
die Technik,"technique, technology",die Techniken,Die neue Technik ist effektiver als die alte.
der Versuch,"attempt, experiment (V~)",die Versuche,"Ihr erster Versuch, die Prüfung zu bestehen, scheiterte."
der Kreis,"circle, district",die Kreise,Daniel feiert seinen Geburtstag im Kreise seiner Familie.
die Forderung,"demand, claim (F~)",die Forderungen,Der Chef kommt den Forderungen nach Gehaltserhöhung nicht nach.
die Rede,"speech, talk",die Reden,In dem Zeitungsartikel ist die Rede von Reformen.
die Tätigkeit,activity (T~),die Tätigkeiten,Er geht keiner geregelten Tätigkeit nach.
die Krankheit,"illness, disease (K~)",die Krankheiten,Vielen Krankheiten kann man mit Penicillin begegnen.
der Eindruck,impression,die Eindrücke,"Ich habe den Eindruck, dass er ein schlechtes Gedächtnis hat."
die Voraussetzung,"condition, requirement (V~)",die Voraussetzungen,Eine Wiederholung der Prüfung ist nur unter erschwerten Voraussetzungen möglich.
der Kampf,"fight, struggle",die Kämpfe,Der Kampf zwischen Arbeitgebern und Arbeitnehmern geht weiter.
die Schwierigkeit,difficulty,die Schwierigkeiten,Die Schwierigkeiten bestehen in der Übersetzung einiger Fachwörter.
das Schweigen,silence,no plural,Das Schweigen im Raum wurde unerträglich.
der Künstler,artist,die Künstler,Der Künstler selbst eröffnet die Ausstellung.
die Region,region,die Regionen,In der Region ist die Infrastruktur mangelhaft.
der Beitrag,contribution,die Beiträge,Die Mitglieder zahlen einen monatlichen Beitrag.
das Konzept,"concept, draft, plan",die Konzepte,Das Konzept für den neuen Studiengang ist noch nicht fertig.
der Mund,mouth,die Münder,Ramona kann nie den Mund halten.
der Wunsch,wish,die Wünsche,Du hast einen Wunsch frei.
der Artikel,article,die Artikel,Artikel eins des Grundgesetzes lautet: Die Würde des Menschen ist unantastbar.
die Reaktion,reaction,die Reaktionen,Ich kann seine Reaktion gut verstehen.
die Linie,line (L~),die Linien,Die Linie 4 fährt nach Gohlis.
der Rücken,back (of the body),die Rücken,Das Problem wird wie immer auf dem Rücken der Armen ausgetragen.
das Kapitel,chapter,die Kapitel,Das vierte Kapitel des Buches ist besonders spannend.
die Literatur,literature,die Literaturen,Literatur recherchiert man am besten im Internet.
die Aussage,statement,die Aussagen,Seine Aussagen widersprechen sich.
der Bürger,citizen,die Bürger,"Die Bürger der Stadt versammeln sich auf dem Markt, um zu demonstrieren."
die Wand,wall (W~),die Wände,"Die Wände in unserer Wohnung sind zu dünn, man kann alles hören."
der Jugendliche,adolescent,die Jugendlichen,Jugendliche ab 16 Jahren dürfen Alkohol kaufen.
der Gegensatz,"opposite, contrast (not 'Gegenteil')",die Gegensätze,Im Gegensatz zu meinen Geschwistern wohne ich in der Stadt.
der Inhalt,"contents, plot (I~)",die Inhalte,Die Zuschauer unterhalten sich über den Inhalt des Films.
die Farbe,color,die Farben,Manche Fische können ihre Farbe der Umgebung anpassen.
der Himmel,"sky, heaven",die Himmel,Heute ist keine Wolke am Himmel.
die Bibliothek,library,die Bibliotheken,Die Bibliothek hat 12 Stunden am Tag geöffnet.
die Zelle,cell,die Zellen,Menschliche Zellen bestehen zu einem Großteil aus Wasser.
die Kenntnis,knowledge,die Kenntnisse,"Ich setze Sie davon in Kenntnis, dass die Zeit abgelaufen ist."
der Ansatz,"approach, attempt (A~)",die Ansätze,Dieser Ansatz ist in der Wissenschaft umstritten.
das Papier,paper,die Papiere,Wir verwenden lieber chlorfrei gebleichtes Papier.
die Erinnerung,memory (E~),die Erinnerungen,Sie hat nur positive Erringungen an ihre Kindheit.
das Maß,measure (short form),die Maße,Der Mensch ist das Maß aller Dinge.
der Kurs,"course, exchange rate",die Kurse,Mein Kurs an der Uni ist vorbei.
der Umstand,circumstance,die Umstände,Unter diesen Umständen muss ich leider absagen.
die Sekunde,second,die Sekunden,Eine Minute hat 60 Sekunden.
die Sonne,sun,die Sonnen,Die Sonne scheint.
das Bein,leg,die Beine,Beim Eislaufen habe ich mir mein Bein gebrochen.
das Essen,food (E~),die Essen,Das Essen steht auf dem Tisch.
die Grundlage,basis,die Grundlagen,Mathematik ist die Grundlage für viele andere Wissenschaften.
die Wirklichkeit,reality (W~),die Wirklichkeiten,Die Wirklichkeit sieht anders aus.
die Küche,"kitchen, cuisine",die Küchen,In der Küche duftet es nach Gewürzen.
die Wissenschaft,science,die Wissenschaften,Biologie ist die Wissenschaft vom Leben.
die Hälfte,half,die Hälften,Die Hälfte der Bevölkerung ist täglich online.
der Garten,garden,die Gärten,Im Garten stehen sechs Apfelbäume.
der Druck,"pressure, printing",die Drücke,Die Wirtschaft übt großen Druck auf die Regierung aus.
der Zustand,"condition, state (Z~)",die Zustände,Die Straßen hier sind in einem sehr schlechten Zustand.
der Zeitpunkt,"moment, (point in) time",die Zeitpunkte,Wir werden die Versammlung auf einen späteren Zeitpunkt verschieben.
der Plan,plan,die Pläne,Der ursprüngliche Plan sah anders aus.
der Hinweis,hint (H~),die Hinweise,Ein Zeuge gab der Polizei den entscheidenden Hinweis.
der Auftrag,"instructions, order, job (Auf~)",die Aufträge,Der Auftrag muss diese Woche noch erledigt werden.
der Baum,tree,die Bäume,Familie Ittner pflanzt jedes Jahr einen Baum.
der Dienst,"service, duty",die Dienste,Der Verkäufer steht im Dienst seiner Kunden.
der Gegenstand,object (G~),die Gegenstände,Kleine Kinder verschlucken oft Gegenstände.
die Freude,joy,die Freuden,"Ihre Freude war sehr groß, als sie hörte, dass sie die Prüfung bestanden hatte."
die Gemeinde,"community, municipality (G~)",die Gemeinden,Die Gemeinde hat keine finanziellen Mittel mehr übrig.
der November,November,die November,Im November fällt oft der erste Schnee.
die Position,position (P~),die Positionen,In seiner Position als Stellvertreter des Präsidenten hat er zu wenig Einfluss auf die Politik.
das Netz,net,die Netze,Die Fischer holen ihre Netze ein.
die Forschung,research,die Forschungen,Sie präsentierten die neusten Ergebnisse ihrer Forschung.
der Wald,"forest, woods",die Wälder,Ich gehe gern im Wald spazieren.
